Kota Inflasi,,,,,,,,,,,,,
,Indeks Harga Konsumen (Umum),,,,,,,,,,,,
,2009,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MEULABOH,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB ACEH TAMIANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,113.26,113.21,114,113.46,114.18,114.16,115.07,116.74,118.86,117.32,117.85,117.58,-
KOTA LHOKSEUMAWE,114.2,115.21,114.63,114.6,114.7,114.21,115.32,116.54,119.2,118.18,118.28,119.83,-
KAB LABUHANBATU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KARO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DELI SERDANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SIBOLGA,115.33,116.19,114.95,114.41,114.81,114.94,116.05,116.62,118.91,118.66,118.23,117.39,-
KOTA PEMATANG SIANTAR,113.43,114.02,112.88,112.71,113.33,112.99,114.17,115.74,116.67,117.33,116.81,116.19,-
KOTA MEDAN,113.52,113.07,112.8,112.32,112.6,112.61,113.96,115,116.38,116.63,115.96,116.82,-
KOTA PADANGSIDIMPUAN,115.67,115.93,115.52,114.09,113.88,114.28,114.98,115.64,117.32,117.74,117.91,117.71,-
KOTA GUNUNGSITOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DHARMASRAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PASAMAN BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PADANG,115.94,116.73,116.08,115.2,114.75,114.53,115.39,115.91,117.72,119.82,119.19,118.41,-
KOTA BUKITTINGGI,-,-,-,-,-,-,-,-,-,-,-,-,-
TEMBILAHAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KAMPAR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PEKANBARU,113.76,113.9,113.39,112.78,112.83,112.78,113.13,113.78,114.7,115.19,115.16,115.04,-
KOTA DUMAI,118.48,117.88,117.36,116.48,116.7,116.46,118.08,118.36,120.56,119.65,119.37,119.18,-
KAB KERINCI,-,-,-,-,-,-,-,-,-,-,-,-,-
BUNGO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA JAMBI,115.16,115.92,114.98,113.52,114.62,114.15,115.36,115.76,116.86,118.3,117.9,117.54,-
KAB OGAN KOMERING ILIR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUARA ENIM,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALEMBANG,115.59,116.02,115.85,115.53,115.73,115.95,116.43,116.27,117.77,117.95,118.03,118.07,-
KOTA LUBUKLINGGAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUKO MUKO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BENGKULU,116.62,117.1,116.74,115.88,115.69,115.88,117.74,118.37,120.58,121.29,120.28,120,-
KAB LAMPUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MESUJI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDAR LAMPUNG,119.45,119.08,119.38,117.88,117.44,117.84,118.77,120.35,123.55,123.26,123.55,123.24,-
KOTA METRO,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG PANDAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BANGKA BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BELITUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PANGKAL PINANG,119.8,118.53,118.14,117.09,117.15,117.26,118.07,119.16,120.96,121.44,120.52,121.65,-
KAB KARIMUN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BATAM,110.36,111.01,111.06,110.38,110.41,110.58,110.75,111.12,112.53,112.79,112.57,112.43,-
KOTA TANJUNG PINANG,118.12,118.45,117.09,116.22,115.57,116.24,116.79,116.92,117.74,118.63,118.3,118.39,-
DKI JAKARTA,112.81,112.56,112.93,112.76,112.95,113.1,113.51,114.02,115.06,115.2,115.14,115.73,-
KAB BANDUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MAJALENGKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BOGOR,115.61,116.3,116.92,116.37,116.39,116.6,116.79,117.82,118.6,118.08,117.92,118.5,-
KOTA SUKABUMI,114.46,114.88,116.23,116.65,116.56,116.64,116.99,117.58,118.1,118.01,118,118.31,-
KOTA BANDUNG,112.37,112.24,112.82,112.78,112.56,112.66,112.99,113.56,114.51,114.85,114.83,115.08,-
KOTA CIREBON,116.93,118.13,118.25,118.1,118.15,118.3,118.39,119.88,121.25,121.39,121.4,122,-
KOTA BEKASI,112.26,112.92,112.72,112.12,112.42,112.43,112.92,113.52,114.41,114.67,114.69,114.88,-
KOTA DEPOK,113.65,112.89,112.92,112.67,112.68,112.69,113.34,113.98,115.43,115.49,115.23,115.39,-
KOTA TASIKMALAYA,115.56,115.68,115.97,117.09,117.12,117.23,117.37,117.76,118.51,118.98,119.58,119.87,-
CILACAP,-,-,-,-,-,-,-,-,-,-,-,-,-
PURWOKERTO,113.16,113.75,114.43,114.18,114.22,114.56,114.57,114.94,115.9,116.32,116.37,116.75,-
KAB WONOSOBO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB WONOGIRI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB REMBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KUDUS,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SURAKARTA,108.26,108.98,109.29,109.27,109.62,109.8,109.98,110.44,111.13,111.3,110.98,111.29,-
KOTA SEMARANG,112.56,112.71,113.47,113.28,113.38,113.54,114.06,114.43,115.77,116.25,115.94,116.25,-
KOTA TEGAL,112.49,113.58,113.57,113.74,114.32,114.76,115.29,115.82,118.38,118.23,118.32,118.94,-
KAB GUNUNGKIDUL,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA YOGYAKARTA,113.42,113.78,113.99,113.6,113.91,114.12,114.49,115.37,116.29,116.26,116.36,116.64,-
KAB TULUNGAGUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
JEMBER,114.23,114.95,115.52,114.52,114.99,115.71,115.63,115.8,116.95,117.56,117.72,118.53,-
BANYUWANGI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BOJONEGORO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB GRESIK,-,-,-,-,-,-,-,-,-,-,-,-,-
SUMENEP,110.99,111.41,111.44,110.77,111.23,111.6,112.05,112.87,113.72,113.11,113.71,114.2,-
KOTA KEDIRI,112.34,112.69,113.22,112.67,112.73,113.24,113.73,114.18,115.55,115.67,115.52,116.25,-
KOTA MALANG,113.49,113.93,114.62,114.38,114.43,114.8,115.16,115.66,116.38,116.62,116.45,117.01,-
KOTA PROBOLINGGO,115.99,116.62,116.5,115.92,116.04,116.58,116.68,117.51,118.72,119.13,119.36,119.91,-
KOTA MADIUN,117.09,118.16,118.29,117.73,117.69,118.29,118.63,119.09,120.09,120.06,120.78,121.08,-
KOTA SURABAYA,111.12,112.19,112.5,112.01,111.79,112.04,112.32,112.9,114.25,114.43,114.49,115.09,-
KAB PANDEGLANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB LEBAK,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TANGERANG,115.96,115.92,116,115.69,115.89,115.93,115.96,116.65,118.28,118.5,118.87,118.51,-
KOTA CILEGON,114.96,115.41,115.78,115.05,115.78,116.2,116.56,117.15,118.4,118.75,118.76,118.64,-
KOTA SERANG,117.26,117.94,117.71,118.27,119.11,119.25,119.97,120.81,122.37,122.54,122.44,122.29,-
KAB TABANAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BADUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINGARAJA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA DENPASAR,111.23,112.32,113.84,113.15,112.96,113.15,113.58,114.15,115.15,115.55,115.67,116.33,-
KAB SUMBAWA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MATARAM,116.58,117.01,117.93,116.85,115.78,116.24,116.79,117.65,120.29,119.36,118.74,119.51,-
KOTA BIMA,119.61,120.49,121.78,121.32,120.47,120.42,121.07,121.89,122.9,123.21,123.47,123.77,-
WAINGAPU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB TIMOR TENGAH SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
MAUMERE,120.85,121.86,120.23,121.07,122.98,121.55,123.2,124.29,125.77,126.56,127.06,126.01,-
KAB NGADA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KUPANG,114.61,113.77,114.23,114.52,114.1,114.63,115.83,115.48,117.8,119.27,119.41,120.62,-
DILI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KETAPANG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINTANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KAYONG UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PONTIANAK,116.01,117.34,116.89,116.59,116.69,117.48,119,119.9,121.61,121.01,119.75,120.54,-
KOTA SINGKAWANG,117.87,118.41,116.99,116.66,116.37,115.94,117.74,117.77,118.77,118.06,116.39,117.89,-
SAMPIT,112.29,113.39,114.33,112.99,113.47,113.39,113.48,113.62,114.47,115.27,116.22,115.72,-
KAB KAPUAS,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUKAMARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALANGKA RAYA,115.97,115.33,115.43,115.5,114.68,114.41,114.65,114.72,115.88,116.72,117.4,117.8,-
KAB TANAH LAUT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTABARU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB HULU SUNGAI TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANJARMASIN,114.82,114.78,115.3,115.08,115.28,115.69,115.99,116.62,117.74,118.51,119.09,119.4,-
KAB BERAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PENAJAM PASER UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BALIKPAPAN,113.82,114.06,114.46,114.61,114.69,114.81,116.15,116.92,117.74,117.98,118.18,118.55,-
KOTA SAMARINDA,116.34,118.23,118.6,118.9,118.81,119.1,118.88,119.81,121.25,121.4,121.29,121.6,-
TANJUNG SELOR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB NUNUKAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TARAKAN,122.85,123.1,123.2,123.31,123.08,124.85,126.08,127.3,129.25,128.3,129.12,131.39,-
KAB MINAHASA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MINAHASA UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MANADO,113.66,115.08,116.57,115.03,114.29,114.15,114.67,115.41,115,115.95,117.42,117.87,-
KOTA KOTAMOBAGU,-,-,-,-,-,-,-,-,-,-,-,-,-
LUWUK,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MOROWALI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB TOLI TOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALU,114.87,115.25,116.45,115.46,115.86,116.03,117.17,119,119.92,118.52,119.9,120.96,-
BULUKUMBA,-,-,-,-,-,-,-,-,-,-,-,-,-
WATAMPONE,121.54,122.62,123.73,123.42,123.79,124.77,124.27,125.99,128.32,128.15,128.65,129.43,-
KAB WAJO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SIDENRENG RAPPANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB LUWU TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MAKASSAR,113.79,114.56,114.68,114.18,113.77,113.38,113.84,115.22,116.25,116.5,116.84,117.41,-
KOTA PARE-PARE,119.84,120.05,119.97,119.55,119.48,119.34,119.92,120.64,121.55,121.25,121.7,121.16,-
KOTA PALOPO,121.5,121.92,123.4,124.62,123.81,123.25,123.74,124.87,125.72,126.33,126.84,127.11,-
KAB KONAWE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KOLAKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KENDARI,119.78,120.01,120.96,122.09,121.61,120.55,121.2,121.7,123.2,123.66,122.71,122.85,-
KOTA BAU-BAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB GORONTALO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA GORONTALO,114.13,115.14,116.03,115.97,116.53,116.71,117.06,117.64,117.7,118.22,119.3,118.32,-
KAB MAJENE,-,-,-,-,-,-,-,-,-,-,-,-,-
MAMUJU,118.24,118.42,118.83,118.97,118.8,118.9,118.69,119.4,120.62,120.27,120.36,121.37,-
KAB MALUKU TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA AMBON,112.05,112.84,113.2,113.65,113.52,110.45,111.66,113.08,112.46,113.32,113.89,117.87,-
KOTA TUAL,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB HALMAHERA TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TERNATE,116.35,116.43,117.33,118.38,118.27,117.01,117.23,117.57,118.55,118.76,119.26,120.38,-
MANOKWARI,127.41,127.44,127.02,127.11,127.39,127.48,127.71,130.26,130.53,129.84,129.96,131.93,-
KAB SORONG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SORONG SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SORONG,130.27,130.36,131.46,130.44,130.51,132.14,135.04,134.01,132.7,133.3,133.37,133.85,-
KOTA JAYAPURA,113.86,113.36,115.25,115.21,113.7,114.84,114.2,115.13,116.62,115.87,117.17,117.53,-
MERAUKE,-,-,-,-,-,-,-,-,-,-,-,-,-
TIMIKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB NABIRE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB JAYAWIJAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
INDONESIA,113.78,114.02,114.27,113.92,113.97,114.1,114.61,115.25,116.46,116.68,116.65,117.03,-