id,kode_provinsi,nama_provinsi,kode_bulan,nama_bulan,tingkat_pengangguran_terbuka,satuan,tahun
1,11,ACEH,2,FEBRUARI,5.4,PERSEN,2020
2,11,ACEH,8,AGUSTUS,6.59,PERSEN,2020
3,12,SUMATERA UTARA,2,FEBRUARI,4.71,PERSEN,2020
4,12,SUMATERA UTARA,8,AGUSTUS,6.91,PERSEN,2020
5,13,SUMATERA BARAT,2,FEBRUARI,5.25,PERSEN,2020
6,13,SUMATERA BARAT,8,AGUSTUS,6.88,PERSEN,2020
7,14,RIAU,2,FEBRUARI,4.92,PERSEN,2020
8,14,RIAU,8,AGUSTUS,6.32,PERSEN,2020
9,15,JAMBI,2,FEBRUARI,4.26,PERSEN,2020
10,15,JAMBI,8,AGUSTUS,5.13,PERSEN,2020
11,16,SUMATERA SELATAN,2,FEBRUARI,3.9,PERSEN,2020
12,16,SUMATERA SELATAN,8,AGUSTUS,5.51,PERSEN,2020
13,17,BENGKULU,2,FEBRUARI,3.08,PERSEN,2020
14,17,BENGKULU,8,AGUSTUS,4.07,PERSEN,2020
15,18,LAMPUNG,2,FEBRUARI,4.26,PERSEN,2020
16,18,LAMPUNG,8,AGUSTUS,4.67,PERSEN,2020
17,19,KEP. BANGKA BELITUNG,2,FEBRUARI,3.35,PERSEN,2020
18,19,KEP. BANGKA BELITUNG,8,AGUSTUS,5.25,PERSEN,2020
19,21,KEP. RIAU,2,FEBRUARI,5.98,PERSEN,2020
20,21,KEP. RIAU,8,AGUSTUS,10.34,PERSEN,2020
21,31,DKI JAKARTA,2,FEBRUARI,5.15,PERSEN,2020
22,31,DKI JAKARTA,8,AGUSTUS,10.95,PERSEN,2020
23,32,JAWA BARAT,2,FEBRUARI,7.71,PERSEN,2020
24,32,JAWA BARAT,8,AGUSTUS,10.46,PERSEN,2020
25,33,JAWA TENGAH,2,FEBRUARI,4.2,PERSEN,2020
26,33,JAWA TENGAH,8,AGUSTUS,6.48,PERSEN,2020
27,34,DI YOGYAKARTA,2,FEBRUARI,3.38,PERSEN,2020
28,34,DI YOGYAKARTA,8,AGUSTUS,4.57,PERSEN,2020
29,35,JAWA TIMUR,2,FEBRUARI,3.6,PERSEN,2020
30,35,JAWA TIMUR,8,AGUSTUS,5.84,PERSEN,2020
31,36,BANTEN,2,FEBRUARI,7.99,PERSEN,2020
32,36,BANTEN,8,AGUSTUS,10.64,PERSEN,2020
33,51,BALI,2,FEBRUARI,1.25,PERSEN,2020
34,51,BALI,8,AGUSTUS,5.63,PERSEN,2020
35,52,NUSA TENGGARA BARAT,2,FEBRUARI,3.04,PERSEN,2020
36,52,NUSA TENGGARA BARAT,8,AGUSTUS,4.22,PERSEN,2020
37,53,NUSA TENGGARA TIMUR,2,FEBRUARI,2.64,PERSEN,2020
38,53,NUSA TENGGARA TIMUR,8,AGUSTUS,4.28,PERSEN,2020
39,61,KALIMANTAN BARAT,2,FEBRUARI,4.47,PERSEN,2020
40,61,KALIMANTAN BARAT,8,AGUSTUS,5.81,PERSEN,2020
41,62,KALIMANTAN TENGAH,2,FEBRUARI,3.33,PERSEN,2020
42,62,KALIMANTAN TENGAH,8,AGUSTUS,4.58,PERSEN,2020
43,63,KALIMANTAN SELATAN,2,FEBRUARI,3.67,PERSEN,2020
44,63,KALIMANTAN SELATAN,8,AGUSTUS,4.74,PERSEN,2020
45,64,KALIMANTAN TIMUR,2,FEBRUARI,6.72,PERSEN,2020
46,64,KALIMANTAN TIMUR,8,AGUSTUS,6.87,PERSEN,2020
47,65,KALIMANTAN UTARA,2,FEBRUARI,5.71,PERSEN,2020
48,65,KALIMANTAN UTARA,8,AGUSTUS,4.97,PERSEN,2020
49,71,SULAWESI UTARA,2,FEBRUARI,5.34,PERSEN,2020
50,71,SULAWESI UTARA,8,AGUSTUS,7.37,PERSEN,2020
51,72,SULAWESI TENGAH,2,FEBRUARI,2.93,PERSEN,2020
52,72,SULAWESI TENGAH,8,AGUSTUS,3.77,PERSEN,2020
53,73,SULAWESI SELATAN,2,FEBRUARI,5.7,PERSEN,2020
54,73,SULAWESI SELATAN,8,AGUSTUS,6.31,PERSEN,2020
55,74,SULAWESI TENGGARA,2,FEBRUARI,3.1,PERSEN,2020
56,74,SULAWESI TENGGARA,8,AGUSTUS,4.58,PERSEN,2020
57,75,GORONTALO,2,FEBRUARI,3.29,PERSEN,2020
58,75,GORONTALO,8,AGUSTUS,4.28,PERSEN,2020
59,76,SULAWESI BARAT,2,FEBRUARI,2.39,PERSEN,2020
60,76,SULAWESI BARAT,8,AGUSTUS,3.32,PERSEN,2020
61,81,MALUKU,2,FEBRUARI,6.71,PERSEN,2020
62,81,MALUKU,8,AGUSTUS,7.57,PERSEN,2020
63,82,MALUKU UTARA,2,FEBRUARI,4.09,PERSEN,2020
64,82,MALUKU UTARA,8,AGUSTUS,5.15,PERSEN,2020
65,91,PAPUA BARAT,2,FEBRUARI,6.78,PERSEN,2020
66,91,PAPUA BARAT,8,AGUSTUS,6.8,PERSEN,2020
67,92,PAPUA BARAT DAYA,2,FEBRUARI,,PERSEN,2020
68,92,PAPUA BARAT DAYA,8,AGUSTUS,,PERSEN,2020
69,94,PAPUA,2,FEBRUARI,3.42,PERSEN,2020
70,94,PAPUA,8,AGUSTUS,4.28,PERSEN,2020
71,95,PAPUA SELATAN,2,FEBRUARI,,PERSEN,2020
72,95,PAPUA SELATAN,8,AGUSTUS,,PERSEN,2020
73,96,PAPUA TENGAH,2,FEBRUARI,,PERSEN,2020
74,96,PAPUA TENGAH,8,AGUSTUS,,PERSEN,2020
75,97,PAPUA PEGUNUNGAN,2,FEBRUARI,,PERSEN,2020
76,97,PAPUA PEGUNUNGAN,8,AGUSTUS,,PERSEN,2020
77,11,ACEH,2,FEBRUARI,6.3,PERSEN,2021
78,11,ACEH,8,AGUSTUS,6.3,PERSEN,2021
79,12,SUMATERA UTARA,2,FEBRUARI,6.01,PERSEN,2021
80,12,SUMATERA UTARA,8,AGUSTUS,6.33,PERSEN,2021
81,13,SUMATERA BARAT,2,FEBRUARI,6.67,PERSEN,2021
82,13,SUMATERA BARAT,8,AGUSTUS,6.52,PERSEN,2021
83,14,RIAU,2,FEBRUARI,4.96,PERSEN,2021
84,14,RIAU,8,AGUSTUS,4.42,PERSEN,2021
85,15,JAMBI,2,FEBRUARI,4.76,PERSEN,2021
86,15,JAMBI,8,AGUSTUS,5.09,PERSEN,2021
87,16,SUMATERA SELATAN,2,FEBRUARI,5.17,PERSEN,2021
88,16,SUMATERA SELATAN,8,AGUSTUS,4.98,PERSEN,2021
89,17,BENGKULU,2,FEBRUARI,3.72,PERSEN,2021
90,17,BENGKULU,8,AGUSTUS,3.65,PERSEN,2021
91,18,LAMPUNG,2,FEBRUARI,4.54,PERSEN,2021
92,18,LAMPUNG,8,AGUSTUS,4.69,PERSEN,2021
93,19,KEP. BANGKA BELITUNG,2,FEBRUARI,5.04,PERSEN,2021
94,19,KEP. BANGKA BELITUNG,8,AGUSTUS,5.03,PERSEN,2021
95,21,KEP. RIAU,2,FEBRUARI,10.12,PERSEN,2021
96,21,KEP. RIAU,8,AGUSTUS,9.91,PERSEN,2021
97,31,DKI JAKARTA,2,FEBRUARI,8.51,PERSEN,2021
98,31,DKI JAKARTA,8,AGUSTUS,8.5,PERSEN,2021
99,32,JAWA BARAT,2,FEBRUARI,8.92,PERSEN,2021
100,32,JAWA BARAT,8,AGUSTUS,9.82,PERSEN,2021
101,33,JAWA TENGAH,2,FEBRUARI,5.96,PERSEN,2021
102,33,JAWA TENGAH,8,AGUSTUS,5.95,PERSEN,2021
103,34,DI YOGYAKARTA,2,FEBRUARI,4.28,PERSEN,2021
104,34,DI YOGYAKARTA,8,AGUSTUS,4.56,PERSEN,2021
105,35,JAWA TIMUR,2,FEBRUARI,5.17,PERSEN,2021
106,35,JAWA TIMUR,8,AGUSTUS,5.74,PERSEN,2021
107,36,BANTEN,2,FEBRUARI,9.01,PERSEN,2021
108,36,BANTEN,8,AGUSTUS,8.98,PERSEN,2021
109,51,BALI,2,FEBRUARI,5.42,PERSEN,2021
110,51,BALI,8,AGUSTUS,5.37,PERSEN,2021
111,52,NUSA TENGGARA BARAT,2,FEBRUARI,3.97,PERSEN,2021
112,52,NUSA TENGGARA BARAT,8,AGUSTUS,3.01,PERSEN,2021
113,53,NUSA TENGGARA TIMUR,2,FEBRUARI,3.38,PERSEN,2021
114,53,NUSA TENGGARA TIMUR,8,AGUSTUS,3.77,PERSEN,2021
115,61,KALIMANTAN BARAT,2,FEBRUARI,5.73,PERSEN,2021
116,61,KALIMANTAN BARAT,8,AGUSTUS,5.82,PERSEN,2021
117,62,KALIMANTAN TENGAH,2,FEBRUARI,4.25,PERSEN,2021
118,62,KALIMANTAN TENGAH,8,AGUSTUS,4.53,PERSEN,2021
119,63,KALIMANTAN SELATAN,2,FEBRUARI,4.33,PERSEN,2021
120,63,KALIMANTAN SELATAN,8,AGUSTUS,4.95,PERSEN,2021
121,64,KALIMANTAN TIMUR,2,FEBRUARI,6.81,PERSEN,2021
122,64,KALIMANTAN TIMUR,8,AGUSTUS,6.83,PERSEN,2021
123,65,KALIMANTAN UTARA,2,FEBRUARI,4.67,PERSEN,2021
124,65,KALIMANTAN UTARA,8,AGUSTUS,4.58,PERSEN,2021
125,71,SULAWESI UTARA,2,FEBRUARI,7.28,PERSEN,2021
126,71,SULAWESI UTARA,8,AGUSTUS,7.06,PERSEN,2021
127,72,SULAWESI TENGAH,2,FEBRUARI,3.73,PERSEN,2021
128,72,SULAWESI TENGAH,8,AGUSTUS,3.75,PERSEN,2021
129,73,SULAWESI SELATAN,2,FEBRUARI,5.79,PERSEN,2021
130,73,SULAWESI SELATAN,8,AGUSTUS,5.72,PERSEN,2021
131,74,SULAWESI TENGGARA,2,FEBRUARI,4.22,PERSEN,2021
132,74,SULAWESI TENGGARA,8,AGUSTUS,3.92,PERSEN,2021
133,75,GORONTALO,2,FEBRUARI,3.41,PERSEN,2021
134,75,GORONTALO,8,AGUSTUS,3.01,PERSEN,2021
135,76,SULAWESI BARAT,2,FEBRUARI,3.28,PERSEN,2021
136,76,SULAWESI BARAT,8,AGUSTUS,3.13,PERSEN,2021
137,81,MALUKU,2,FEBRUARI,6.73,PERSEN,2021
138,81,MALUKU,8,AGUSTUS,6.93,PERSEN,2021
139,82,MALUKU UTARA,2,FEBRUARI,5.06,PERSEN,2021
140,82,MALUKU UTARA,8,AGUSTUS,4.71,PERSEN,2021
141,91,PAPUA BARAT,2,FEBRUARI,6.18,PERSEN,2021
142,91,PAPUA BARAT,8,AGUSTUS,5.84,PERSEN,2021
143,92,PAPUA BARAT DAYA,2,FEBRUARI,,PERSEN,2021
144,92,PAPUA BARAT DAYA,8,AGUSTUS,,PERSEN,2021
145,94,PAPUA,2,FEBRUARI,3.77,PERSEN,2021
146,94,PAPUA,8,AGUSTUS,3.33,PERSEN,2021
147,95,PAPUA SELATAN,2,FEBRUARI,,PERSEN,2021
148,95,PAPUA SELATAN,8,AGUSTUS,,PERSEN,2021
149,96,PAPUA TENGAH,2,FEBRUARI,,PERSEN,2021
150,96,PAPUA TENGAH,8,AGUSTUS,,PERSEN,2021
151,97,PAPUA PEGUNUNGAN,2,FEBRUARI,,PERSEN,2021
152,97,PAPUA PEGUNUNGAN,8,AGUSTUS,,PERSEN,2021
153,11,ACEH,2,FEBRUARI,5.97,PERSEN,2022
154,11,ACEH,8,AGUSTUS,6.17,PERSEN,2022
155,12,SUMATERA UTARA,2,FEBRUARI,5.47,PERSEN,2022
156,12,SUMATERA UTARA,8,AGUSTUS,6.16,PERSEN,2022
157,13,SUMATERA BARAT,2,FEBRUARI,6.17,PERSEN,2022
158,13,SUMATERA BARAT,8,AGUSTUS,6.28,PERSEN,2022
159,14,RIAU,2,FEBRUARI,4.4,PERSEN,2022
160,14,RIAU,8,AGUSTUS,4.37,PERSEN,2022
161,15,JAMBI,2,FEBRUARI,4.7,PERSEN,2022
162,15,JAMBI,8,AGUSTUS,4.59,PERSEN,2022
163,16,SUMATERA SELATAN,2,FEBRUARI,4.74,PERSEN,2022
164,16,SUMATERA SELATAN,8,AGUSTUS,4.63,PERSEN,2022
165,17,BENGKULU,2,FEBRUARI,3.39,PERSEN,2022
166,17,BENGKULU,8,AGUSTUS,3.59,PERSEN,2022
167,18,LAMPUNG,2,FEBRUARI,4.31,PERSEN,2022
168,18,LAMPUNG,8,AGUSTUS,4.52,PERSEN,2022
169,19,KEP. BANGKA BELITUNG,2,FEBRUARI,4.18,PERSEN,2022
170,19,KEP. BANGKA BELITUNG,8,AGUSTUS,4.77,PERSEN,2022
171,21,KEP. RIAU,2,FEBRUARI,8.02,PERSEN,2022
172,21,KEP. RIAU,8,AGUSTUS,8.23,PERSEN,2022
173,31,DKI JAKARTA,2,FEBRUARI,8.0,PERSEN,2022
174,31,DKI JAKARTA,8,AGUSTUS,7.18,PERSEN,2022
175,32,JAWA BARAT,2,FEBRUARI,8.35,PERSEN,2022
176,32,JAWA BARAT,8,AGUSTUS,8.31,PERSEN,2022
177,33,JAWA TENGAH,2,FEBRUARI,5.75,PERSEN,2022
178,33,JAWA TENGAH,8,AGUSTUS,5.57,PERSEN,2022
179,34,DI YOGYAKARTA,2,FEBRUARI,3.73,PERSEN,2022
180,34,DI YOGYAKARTA,8,AGUSTUS,4.06,PERSEN,2022
181,35,JAWA TIMUR,2,FEBRUARI,4.81,PERSEN,2022
182,35,JAWA TIMUR,8,AGUSTUS,5.49,PERSEN,2022
183,36,BANTEN,2,FEBRUARI,8.53,PERSEN,2022
184,36,BANTEN,8,AGUSTUS,8.09,PERSEN,2022
185,51,BALI,2,FEBRUARI,4.84,PERSEN,2022
186,51,BALI,8,AGUSTUS,4.8,PERSEN,2022
187,52,NUSA TENGGARA BARAT,2,FEBRUARI,3.92,PERSEN,2022
188,52,NUSA TENGGARA BARAT,8,AGUSTUS,2.89,PERSEN,2022
189,53,NUSA TENGGARA TIMUR,2,FEBRUARI,3.3,PERSEN,2022
190,53,NUSA TENGGARA TIMUR,8,AGUSTUS,3.54,PERSEN,2022
191,61,KALIMANTAN BARAT,2,FEBRUARI,4.86,PERSEN,2022
192,61,KALIMANTAN BARAT,8,AGUSTUS,5.11,PERSEN,2022
193,62,KALIMANTAN TENGAH,2,FEBRUARI,4.2,PERSEN,2022
194,62,KALIMANTAN TENGAH,8,AGUSTUS,4.26,PERSEN,2022
195,63,KALIMANTAN SELATAN,2,FEBRUARI,4.2,PERSEN,2022
196,63,KALIMANTAN SELATAN,8,AGUSTUS,4.74,PERSEN,2022
197,64,KALIMANTAN TIMUR,2,FEBRUARI,6.77,PERSEN,2022
198,64,KALIMANTAN TIMUR,8,AGUSTUS,5.71,PERSEN,2022
199,65,KALIMANTAN UTARA,2,FEBRUARI,4.62,PERSEN,2022
200,65,KALIMANTAN UTARA,8,AGUSTUS,4.33,PERSEN,2022
201,71,SULAWESI UTARA,2,FEBRUARI,6.51,PERSEN,2022
202,71,SULAWESI UTARA,8,AGUSTUS,6.61,PERSEN,2022
203,72,SULAWESI TENGAH,2,FEBRUARI,3.67,PERSEN,2022
204,72,SULAWESI TENGAH,8,AGUSTUS,3.0,PERSEN,2022
205,73,SULAWESI SELATAN,2,FEBRUARI,5.75,PERSEN,2022
206,73,SULAWESI SELATAN,8,AGUSTUS,4.51,PERSEN,2022
207,74,SULAWESI TENGGARA,2,FEBRUARI,3.86,PERSEN,2022
208,74,SULAWESI TENGGARA,8,AGUSTUS,3.36,PERSEN,2022
209,75,GORONTALO,2,FEBRUARI,3.25,PERSEN,2022
210,75,GORONTALO,8,AGUSTUS,2.58,PERSEN,2022
211,76,SULAWESI BARAT,2,FEBRUARI,3.11,PERSEN,2022
212,76,SULAWESI BARAT,8,AGUSTUS,2.34,PERSEN,2022
213,81,MALUKU,2,FEBRUARI,6.44,PERSEN,2022
214,81,MALUKU,8,AGUSTUS,6.88,PERSEN,2022
215,82,MALUKU UTARA,2,FEBRUARI,4.98,PERSEN,2022
216,82,MALUKU UTARA,8,AGUSTUS,3.98,PERSEN,2022
217,91,PAPUA BARAT,2,FEBRUARI,5.78,PERSEN,2022
218,91,PAPUA BARAT,8,AGUSTUS,5.37,PERSEN,2022
219,92,PAPUA BARAT DAYA,2,FEBRUARI,,PERSEN,2022
220,92,PAPUA BARAT DAYA,8,AGUSTUS,,PERSEN,2022
221,94,PAPUA,2,FEBRUARI,3.6,PERSEN,2022
222,94,PAPUA,8,AGUSTUS,2.83,PERSEN,2022
223,95,PAPUA SELATAN,2,FEBRUARI,,PERSEN,2022
224,95,PAPUA SELATAN,8,AGUSTUS,,PERSEN,2022
225,96,PAPUA TENGAH,2,FEBRUARI,,PERSEN,2022
226,96,PAPUA TENGAH,8,AGUSTUS,,PERSEN,2022
227,97,PAPUA PEGUNUNGAN,2,FEBRUARI,,PERSEN,2022
