38 Provinsi,,,
,Persentase Penduduk yang Memiliki/Menguasai Telepon Seluler Menurut Provinsi dan Klasifikasi Daerah,,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2018,2018,2018
ACEH,70.4,53.84,59.05
SUMATERA UTARA,67.03,50.84,59.45
SUMATERA BARAT,72.38,55.27,62.83
RIAU,76.32,61.92,67.74
JAMBI,74.18,59.62,64.29
SUMATERA SELATAN,70.99,55.24,61.12
BENGKULU,72.42,54.42,60.31
LAMPUNG,68.67,56.08,59.81
KEP. BANGKA BELITUNG,74.69,61.1,68.41
KEP. RIAU,76.25,61.44,74.11
DKI JAKARTA,76.16,-,76.16
JAWA BARAT,68.45,55.2,65.01
JAWA TENGAH,65.44,55.25,60.47
DI YOGYAKARTA,72.34,57.53,68.32
JAWA TIMUR,67.52,53.16,60.66
BANTEN,70.14,49.71,64.25
BALI,73.93,56.4,67.99
NUSA TENGGARA BARAT,59.71,48.8,53.88
NUSA TENGGARA TIMUR,65.86,37.32,43.91
KALIMANTAN BARAT,73.38,50.51,58.25
KALIMANTAN TENGAH,77.07,62.61,68.2
KALIMANTAN SELATAN,74.34,58.79,66.04
KALIMANTAN TIMUR,79.31,70.42,76.36
KALIMANTAN UTARA,78.46,67.83,73.99
SULAWESI UTARA,72.24,56.96,64.64
SULAWESI TENGAH,73.05,50.3,56.66
SULAWESI SELATAN,72.2,57.86,63.85
SULAWESI TENGGARA,69.65,54.5,60.34
GORONTALO,67.11,53.03,58.5
SULAWESI BARAT,61.26,47.08,50.44
MALUKU,70.58,45.5,56.13
MALUKU UTARA,75.12,44.81,53.55
PAPUA BARAT,75.43,57.95,65.08
PAPUA BARAT DAYA,-,-,-
PAPUA,73.74,27.73,40.46
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,69.66,53.61,62.41