38 Provinsi,,
,[Seri 2010] Produk Domestik Regional Bruto Per Kapita (Ribu Rupiah),
,Harga Berlaku,Harga Konstan 2010
,2010,2010
ACEH,22450.14,22450.14
SUMATERA UTARA,25412.07,25412.07
SUMATERA BARAT,21584.91,21584.91
RIAU,69701.03,69701.03
JAMBI,29160.16,29160.16
SUMATERA SELATAN,25932,25932
BENGKULU,16463.68,16463.68
LAMPUNG,19722.39,19722.39
KEP. BANGKA BELITUNG,28906.78,28906.78
KEP. RIAU,65703.34,65703.34
DKI JAKARTA,111528.86,111528.86
JAWA BARAT,20974.94,20974.94
JAWA TENGAH,19209.31,19209.31
DI YOGYAKARTA,18652.97,18652.97
JAWA TIMUR,26371.1,26371.1
BANTEN,25397.65,25397.65
BALI,23992.63,23992.63
NUSA TENGGARA BARAT,15527.41,15527.41
NUSA TENGGARA TIMUR,9316.79,9316.79
KALIMANTAN BARAT,19510.07,19510.07
KALIMANTAN TENGAH,25455.05,25455.05
KALIMANTAN SELATAN,23418.47,23418.47
KALIMANTAN TIMUR,116946.31,116946.31
KALIMANTAN UTARA,-,-
SULAWESI UTARA,22707.79,22707.79
SULAWESI TENGAH,19558.53,19558.53
SULAWESI SELATAN,21306.72,21306.72
SULAWESI TENGGARA,21573.11,21573.11
GORONTALO,14811.95,14811.95
SULAWESI BARAT,14755.47,14755.47
MALUKU,11951.84,11951.84
MALUKU UTARA,14361.54,14361.54
PAPUA BARAT,54049.32,54049.32
PAPUA BARAT DAYA,-,-
PAPUA,38785.11,38785.11
PAPUA SELATAN,-,-
PAPUA TENGAH,-,-
PAPUA PEGUNUNGAN,-,-
INDONESIA,28778.17,28778.17