Provinsi,Tahun,Pengeluaran_Makanan,Pengeluaran_Bukan_Makanan,Total_Pengeluaran,UMP,TPT,TPAK,PDRB_HargaBerlaku,PDRB_HargaKonstan,Pct_Penduduk_Miskin,Inflasi_Rata_Tahunan,Gini_Rasio,IPM,Garis_Kemiskinan,Jumlah_Penduduk,Pct_Populasi,Kepadatan_Penduduk,Rasio_Jenis_Kelamin,Laju_Pertumbuhan_Penduduk,Pct_Akses_Air_Bersih,Protein_gram_per_hari,Kalori_kkal_per_hari,Inflasi_WB_Annual,GDP_PerCapita_PPP,Pct_Unemployment_WB,Poverty_Headcount_Pct,Indeks_Kedalaman_Kemiskinan,Total_Kendaraan,NTP,Pct_Kepemilikan_HP,Pct_Sanitasi_Layak,Pct_Pekerja_Formal,Rerata_Lama_Sekolah,Realisasi_Investasi_PMDN
Papua Barat,2022,723854.71,724650.68,1448505.39,3200000.0,5.575,69.07,78141.31,53517.07,21.33,0.45,0.377,65.16,691492.5,1149.4,0.43,12.0,111.1,2.46,81.57,62.21269396142489,2079.085817864126,4.20946463714784,13334.2653947637,3.462,9.5,5.035,376950.0,100.6275,68.01,73.52,39.72,7.84,2139.1
Riau,2022,730825.57,694345.29,1425170.86,2938564.0,4.385,64.92,151258.97,80773.87,6.78,0.45,0.3245,73.52,633771.75,6466.8,2.4,74.0,104.7,1.95,90.07,62.21269396142489,2079.085817864126,4.20946463714784,13334.2653947637,3.462,9.5,1.0350000000000001,4230607.0,144.28083333333333,73.47,84.06,45.98,9.22,43062.0
Sulawesi Barat,2022,491876.25,464029.03,955905.28,2678863.0,2.725,70.95,37033.82,23060.66,11.75,0.45,0.3665,66.92,416338.75,1436.7,0.53,88.0,102.9,1.58,78.98,62.21269396142489,2079.085817864126,4.20946463714784,13334.2653947637,3.462,9.5,2.15,393158.0,117.83083333333333,61.07,78.88,22.75,8.08,1313.3
Sulawesi Selatan,2022,566223.75,576387.95,1142611.7,3165876.0,5.13,66.015,65353.29,38975.18,8.63,0.45,0.371,72.82,412879.0,9156.9,3.35,204.0,98.7,0.96,91.96,62.21269396142489,2079.085817864126,4.20946463714784,13334.2653947637,3.462,9.5,1.4300000000000002,4680584.0,100.3916666666667,71.1,92.24,36.45,8.63,7528.0
Sulawesi Tengah,2022,561738.97,521939.99,1083678.96,2390739.0,3.335,70.425,106068.47,56577.06,12.33,0.45,0.3065,70.28,545559.5,3015.0,1.11,50.0,105.2,1.53,86.74,62.21269396142489,2079.085817864126,4.20946463714784,13334.2653947637,3.462,9.5,2.2800000000000002,1315220.0,101.59000000000002,62.39,75.01,32.13,8.89,3758.6
Sulawesi Tenggara,2022,535048.46,576546.85,1111595.3,2576017.0,3.61,67.565,58714.73,37956.13,11.17,0.45,0.3765,72.23,422010.0,2659.9,0.98,75.0,102.4,1.66,94.64,62.21269396142489,2079.085817864126,4.20946463714784,13334.2653947637,3.462,9.5,1.935,1057376.0,100.14500000000002,70.0,87.07,37.61,9.25,7596.0
Sulawesi Utara,2022,674114.08,562591.43,1236705.51,3310723.0,6.56,62.525,59020.57,36368.64,7.28,0.45,0.362,73.81,440167.0,2639.5,0.96,183.0,104.6,0.82,94.15,62.21269396142489,2079.085817864126,4.20946463714784,13334.2653947637,3.462,9.5,1.13,1054190.0,108.93083333333333,71.12,84.05,40.85,9.68,5042.1
Sumatera Barat,2022,716261.97,626723.54,1342985.51,2512539.0,6.225,68.65,50263.83,32166.76,5.92,0.45,0.296,73.26,632149.75,5597.3,2.05,134.0,101.5,1.09,85.23,62.21269396142489,2079.085817864126,4.20946463714784,13334.2653947637,3.462,9.5,0.8300000000000001,2656691.0,110.39666666666669,68.24,69.27,34.74,9.18,2559.8
Sumatera Selatan,2022,620732.28,528080.19,1148812.47,3144446.0,4.685,69.32,68238.87,39723.97,11.9,0.45,0.3345,70.9,506350.25,8548.6,3.14,100.0,103.9,1.27,86.35,62.21269396142489,2079.085817864126,4.20946463714784,13334.2653947637,3.462,9.5,1.875,4019095.0,107.7975,66.25,78.62,36.72,8.37,23526.0
Sumatera Utara,2022,663926.75,552569.9,1216496.65,2522610.0,5.815,69.99,62922.26,37780.55,8.42,0.45,0.319,72.71,574103.75,14970.5,5.48,209.0,100.7,1.21,92.13,62.21269396142489,2079.085817864126,4.20946463714784,13334.2653947637,3.462,9.5,1.385,7339034.0,121.77916666666665,67.71,82.3,40.93,9.71,22789.2
Aceh,2023,702547.0,523429.0,1225976.0,3413666.0,5.89,64.945,41407.6,26800.14,14.45,0.215,0.296,73.4,634889.5,5409.2,1.97,96.0,100.9,1.41,89.74,62.32751289179475,2087.643702015758,3.66938654859761,13889.9749067297,3.308,9.4,2.6950000000000003,2625320.0,114.33416666666666,62.87,78.85,40.14,9.55,8883.3
Bali,2023,729755.0,1011768.0,1741523.0,2713672.0,3.21,77.135,62299.21,36206.81,4.25,0.215,0.362,77.1,517167.0,4374.3,1.58,788.0,100.7,0.73,98.31,62.32751289179475,2087.643702015758,3.66938654859761,13889.9749067297,3.308,9.4,0.5900000000000001,5012868.0,99.47916666666667,73.2,95.7,47.65,9.45,6950.8
Banten,2023,847452.0,896235.0,1743687.0,2661280.0,7.745,65.19,66147.2,41228.21,6.17,0.215,0.368,73.87,599323.5,12167.0,4.42,1316.0,103.6,1.22,92.95,62.32751289179475,2087.643702015758,3.66938654859761,13889.9749067297,3.308,9.4,0.91,8135209.0,106.05833333333332,69.87,86.41,53.69,9.15,37971.7
Bengkulu,2023,679166.0,653392.0,1332558.0,2418280.0,3.315,71.815,46300.51,24952.76,14.04,0.215,0.333,72.78,654021.5,2059.4,0.75,104.0,104.5,1.35,73.08,62.32751289179475,2087.643702015758,3.66938654859761,13889.9749067297,3.308,9.4,2.3,1204766.0,146.83916666666667,66.49,80.28,32.23,9.03,7218.7
DI Yogyakarta,2023,722132.0,1009428.0,1731560.0,1981782.0,3.635,73.755,48373.32,31747.86,11.04,0.215,0.449,81.07,549433.5,3712.6,1.34,1178.0,98.0,0.67,96.69,62.32751289179475,2087.643702015758,3.66938654859761,13889.9749067297,3.308,9.4,1.77,3222315.0,103.67333333333333,71.37,96.42,46.22,,5015.5
DKI Jakarta,2023,1055896.0,1735820.0,2791716.0,4901798.0,7.05,64.14,322650.58,192134.11,4.44,0.215,0.431,82.46,792515.0,10640.0,3.83,16146.0,101.3,0.38,99.42,62.32751289179475,2087.643702015758,3.66938654859761,13889.9749067297,3.308,9.4,0.7250000000000001,11696774.0,107.6975,82.47,93.5,63.77,11.45,95202.1
Gorontalo,2023,590966.0,637927.0,1228893.0,2989350.0,3.065,70.69,42340.5,26083.3,15.15,0.215,0.417,70.45,441905.0,1198.4,0.44,101.0,101.7,1.27,96.0,62.32751289179475,2087.643702015758,3.66938654859761,13889.9749067297,3.308,9.4,2.9450000000000003,500806.0,106.16583333333334,67.55,81.72,36.27,8.1,3960.1
Jambi,2023,720949.0,703176.0,1424125.0,2943033.0,4.515,68.315,79873.36,46004.69,7.58,0.215,0.343,72.77,625921.5,3633.2,1.32,75.0,103.6,1.33,80.02,62.32751289179475,2087.643702015758,3.66938654859761,13889.9749067297,3.308,9.4,1.18,2689098.0,138.1158333333333,69.23,83.04,40.27,8.81,8939.0
Jawa Barat,2023,761832.0,805834.0,1567666.0,1986670.0,7.665,66.62,52651.05,33481.65,7.62,0.215,0.425,73.74,493607.0,49306.8,17.89,1346.0,102.7,1.18,93.86,62.32751289179475,2087.643702015758,3.66938654859761,13889.9749067297,3.308,9.4,1.28,25954862.0,107.44749999999999,68.87,74.88,44.85,8.83,88012.9
Jawa Tengah,2023,601528.0,608378.0,1209906.0,1958170.0,5.185,72.025,45162.08,29366.26,10.77,0.215,0.369,73.39,477257.0,37180.4,13.47,1093.0,101.0,1.01,93.76,62.32751289179475,2087.643702015758,3.66938654859761,13889.9749067297,3.308,9.4,1.76,20837197.0,111.11416666666666,64.74,85.2,39.61,8.01,32987.2
Jawa Timur,2023,657408.0,666078.0,1323486.0,2040244.0,4.605,72.03,71121.93,44423.32,10.35,0.215,0.387,73.38,505563.5,41230.0,14.9,865.0,99.5,0.77,96.01,62.32751289179475,2087.643702015758,3.66938654859761,13889.9749067297,3.308,9.4,1.62,25150237.0,109.44083333333333,64.6,83.72,36.89,8.11,74937.4
Kalimantan Barat,2023,695043.0,650509.0,1345552.0,2608602.0,4.785,68.935,48808.92,27560.34,6.71,0.215,0.321,69.41,572339.5,5549.7,2.02,38.0,105.5,1.39,82.08,62.32751289179475,2087.643702015758,3.66938654859761,13889.9749067297,3.308,9.4,1.07,3133395.0,139.02583333333334,64.82,79.89,40.31,7.71,14892.0
Kalimantan Selatan,2023,747955.0,709390.0,1457344.0,3149978.0,4.13,69.645,63754.33,35342.1,4.29,0.215,0.313,72.5,604010.5,4170.2,1.52,114.0,102.4,1.31,76.29,62.32751289179475,2087.643702015758,3.66938654859761,13889.9749067297,3.308,9.4,0.63,3076861.0,109.47749999999998,68.98,82.89,44.75,8.55,14909.4
Kalimantan Tengah,2023,787550.0,738235.0,1525785.0,3181013.0,3.97,67.97,75271.23,40959.59,5.11,0.215,0.317,72.2,592024.5,2737.2,1.0,18.0,107.1,1.4,77.72,62.32751289179475,2087.643702015758,3.66938654859761,13889.9749067297,3.308,9.4,0.785,1665246.0,118.57583333333334,73.11,76.31,48.14,8.73,8779.5
Kalimantan Timur,2023,885069.0,1095206.0,1980275.0,3201396.0,5.84,65.615,215804.04,137510.39,6.11,0.215,0.322,78.2,786239.0,3856.8,1.4,31.0,107.7,1.37,87.9,62.32751289179475,2087.643702015758,3.66938654859761,13889.9749067297,3.308,9.4,0.885,3438260.0,129.0475,81.75,91.21,55.33,9.99,52171.7
Kalimantan Utara,2023,801219.0,892358.0,1693577.0,3251703.0,4.055,68.69,201788.63,95658.26,6.45,0.215,0.277,72.49,808365.0,720.1,0.26,10.0,111.0,1.44,90.19,62.32751289179475,2087.643702015758,3.66938654859761,13889.9749067297,3.308,9.4,0.745,282758.0,111.92333333333335,77.57,84.22,48.62,9.34,8199.1
Kepulauan Bangka Belitung,2023,879797.0,847753.0,1727550.0,3498479.0,4.225,69.335,67812.94,39907.63,4.52,0.215,0.245,72.85,876340.5,1492.0,0.54,91.0,105.6,1.39,81.64,62.32751289179475,2087.643702015758,3.66938654859761,13889.9749067297,3.308,9.4,0.515,1216570.0,118.33583333333333,71.43,93.21,48.93,8.25,7961.4
Kepulauan Riau,2023,863530.0,1126172.0,1989703.0,3279194.0,7.205,67.985,154065.16,92869.32,5.69,0.215,0.34,77.11,727713.0,2121.5,0.77,260.0,103.6,1.53,92.1,62.32751289179475,2087.643702015758,3.66938654859761,13889.9749067297,3.308,9.4,0.97,1498440.0,104.49166666666667,80.37,91.1,66.33,10.41,8856.6
Lampung,2023,627879.0,575138.0,1203017.0,2633285.0,4.205,71.055,48187.64,28907.12,11.11,0.215,0.324,71.15,572594.5,4496.6,3.34,277.0,104.5,1.22,82.78,62.32751289179475,2087.643702015758,3.66938654859761,13889.9749067297,3.308,9.4,1.76,4126156.0,109.31666666666668,65.0,84.58,29.33,8.29,7625.8
Maluku,2023,595310.0,642860.0,1238170.0,2812828.0,6.195,63.71,30455.06,18392.92,16.42,0.215,0.288,70.94,685296.5,1895.1,0.69,42.0,102.4,1.39,92.98,62.32751289179475,2087.643702015758,3.66938654859761,13889.9749067297,3.308,9.4,2.99,392312.0,104.40249999999997,63.21,78.17,34.58,10.2,1904.5
Maluku Utara,2023,660687.0,656472.0,1317159.0,2976720.0,4.455,67.145,64269.75,36592.38,6.46,0.215,0.3,70.21,575062.5,1318.5,0.48,41.0,105.1,1.52,89.01,62.32751289179475,2087.643702015758,3.66938654859761,13889.9749067297,3.308,9.4,1.07,345041.0,103.36666666666667,60.85,80.64,33.92,9.26,6901.0
Nusa Tenggara Barat,2023,711180.0,549640.0,1260820.0,2371407.0,3.265,72.235,29925.69,18687.2,13.85,0.215,0.375,70.2,498572.5,5474.0,2.0,283.0,100.5,1.62,96.03,62.32751289179475,2087.643702015758,3.66938654859761,13889.9749067297,3.308,9.4,2.5300000000000002,2202391.0,115.44000000000001,61.48,85.11,27.7,7.74,30766.2
Nusa Tenggara Timur,2023,516672.0,444700.0,961372.0,2123994.0,3.12,75.115,23078.51,13511.53,19.96,0.215,0.325,66.68,542969.0,5481.8,2.0,120.0,100.0,1.64,88.35,62.32751289179475,2087.643702015758,3.66938654859761,13889.9749067297,3.308,9.4,3.685,1049777.0,96.79083333333334,51.36,75.67,25.49,7.82,3407.2
Papua,2023,866059.0,643934.0,1509992.0,3864696.0,3.08,76.995,78055.48,47321.1,26.03,0.215,0.386,72.41,702617.5,4429.7,1.61,14.0,112.9,1.49,66.49,62.32751289179475,2087.643702015758,3.66938654859761,13889.9749067297,3.308,9.4,6.720000000000001,857021.0,100.18750000000001,37.95,43.0,15.57,7.15,1174.1
Papua Barat,2023,773831.0,824423.0,1598254.0,3282000.0,5.455,68.3,108110.28,71924.23,20.49,0.215,0.37,66.16,734073.5,1168.4,0.43,12.0,110.1,1.68,81.57,62.32751289179475,2087.643702015758,3.66938654859761,13889.9749067297,3.308,9.4,5.035,404118.0,99.82583333333332,65.76,76.3,41.45,7.93,1261.9
Riau,2023,776145.0,751405.0,1527549.0,3191663.0,4.24,64.815,154522.28,83070.74,6.68,0.215,0.324,74.04,665472.5,6555.8,2.38,74.0,104.6,1.4,90.47,62.32751289179475,2087.643702015758,3.66938654859761,13889.9749067297,3.308,9.4,1.0350000000000001,4543634.0,152.9308333333333,72.4,84.58,47.87,9.32,48243.3
Sulawesi Barat,2023,530104.0,506416.0,1036520.0,2871795.0,2.655,69.335,39546.78,23903.2,11.49,0.215,0.351,67.55,434778.0,1458.9,0.53,89.0,102.8,1.56,79.86,62.32751289179475,2087.643702015758,3.66938654859761,13889.9749067297,3.308,9.4,2.15,418122.0,121.46916666666664,61.89,80.73,26.65,8.13,2011.1
Sulawesi Selatan,2023,597180.0,655371.0,1252551.0,3385145.0,4.795,65.015,69710.31,40290.12,8.7,0.215,0.377,73.46,437695.5,9260.1,3.36,207.0,98.7,1.15,92.12,62.32751289179475,2087.643702015758,3.66938654859761,13889.9749067297,3.308,9.4,1.4300000000000002,5132949.0,107.91333333333334,69.83,93.69,37.23,8.76,11468.3
Sulawesi Tengah,2023,602468.0,571212.0,1173679.0,2599546.0,3.22,70.02,112461.01,62584.06,12.41,0.215,0.304,70.95,571065.5,3051.2,1.11,50.0,105.4,1.22,86.85,62.32751289179475,2087.643702015758,3.66938654859761,13889.9749067297,3.308,9.4,2.2800000000000002,1127078.0,106.32666666666667,61.02,75.8,33.9,8.96,4772.5
Sulawesi Tenggara,2023,561452.0,611288.0,1172739.0,2758985.0,3.405,68.81,64088.4,39342.46,11.43,0.215,0.371,72.79,447674.5,2704.6,0.99,76.0,102.7,1.69,94.8,62.32751289179475,2087.643702015758,3.66938654859761,13889.9749067297,3.308,9.4,1.935,1174027.0,101.96,70.94,88.99,38.16,9.31,7734.6
Sulawesi Utara,2023,670957.0,644219.0,1315176.0,3485000.0,6.145,63.7,64130.96,38064.2,7.38,0.215,0.37,74.36,462801.5,2660.8,0.96,185.0,104.4,0.82,94.37,62.32751289179475,2087.643702015758,3.66938654859761,13889.9749067297,3.308,9.4,1.13,1140114.0,109.20499999999998,70.22,85.91,41.86,9.77,7698.2
Sumatera Barat,2023,747469.0,664354.0,1411823.0,2742476.0,5.92,69.785,54333.83,33187.86,5.95,0.215,0.28,73.75,667612.0,5677.6,2.07,137.0,101.5,1.45,85.59,62.32751289179475,2087.643702015758,3.66938654859761,13889.9749067297,3.308,9.4,0.8300000000000001,2877282.0,110.26749999999997,67.78,70.97,35.81,9.28,4488.2
Sumatera Selatan,2023,647779.0,562206.0,1209986.0,3404177.0,4.32,70.225,71958.27,41283.99,11.78,0.215,0.338,71.62,528395.0,8647.3,3.14,101.0,103.8,1.17,87.19,62.32751289179475,2087.643702015758,3.66938654859761,13889.9749067297,3.308,9.4,1.875,4234471.0,105.06416666666667,66.23,80.54,37.03,8.5,25602.4
Sumatera Utara,2023,707588.0,597752.0,1305339.0,2710494.0,5.565,70.83,68305.71,39140.19,8.15,0.215,0.309,73.37,600141.0,15180.5,5.52,212.0,100.7,1.43,92.19,62.32751289179475,2087.643702015758,3.66938654859761,13889.9749067297,3.308,9.4,1.385,7756361.0,125.31666666666666,67.42,84.18,41.48,9.82,21574.0
Aceh,2024,722434.0,542299.0,1264733.0,3460672.0,5.654999999999999,64.945,43782.22,27684.18,14.23,0.13,0.294,74.03,672333.25,5554.8,1.97,98.0,100.9,1.39,90.08,61.69974351299111,2051.5374775856003,2.18151273615189,14470.4372020578,3.301,9.0,2.285,2770328.0,119.25166666666665,64.64,81.1,39.83,9.64,8883.3
Bali,2024,804982.0,1067778.0,1872760.0,2813672.0,1.83,77.135,67318.28,37940.16,4.0,0.13,0.3545,77.76,558569.0,4433.3,1.57,793.0,100.5,0.71,98.32,61.69974351299111,2051.5374775856003,2.18151273615189,14470.4372020578,3.301,9.0,0.47,5277566.0,101.51916666666666,75.27,96.83,49.32,9.54,6950.8
Banten,2024,873268.0,898894.0,1772162.0,2727812.0,6.85,65.19,70275.82,42773.59,5.84,0.13,0.356,74.48,636465.5,12431.4,4.41,1329.0,103.4,1.16,94.01,61.69974351299111,2051.5374775856003,2.18151273615189,14470.4372020578,3.301,9.0,0.885,8478705.0,108.77583333333332,71.32,87.93,53.79,9.23,37971.7
Bengkulu,2024,724415.0,691561.0,1415976.0,2507079.0,3.1399999999999997,71.815,49233.12,25780.58,13.56,0.13,0.3425,73.39,690657.0,2112.2,0.75,105.0,104.4,1.32,72.1,61.69974351299111,2051.5374775856003,2.18151273615189,14470.4372020578,3.301,9.0,1.975,1260200.0,181.83166666666668,67.1,83.01,33.99,9.04,7218.7
DI Yogyakarta,2024,748182.0,1010683.0,1758865.0,2125898.0,3.3600000000000003,73.755,51486.05,33140.14,10.83,0.13,0.4315,81.55,581607.25,3759.5,1.34,1186.0,97.9,0.65,96.91,61.69974351299111,2051.5374775856003,2.18151273615189,14470.4372020578,3.301,9.0,1.715,3340248.0,104.86916666666667,72.17,96.71,46.88,,5015.5
DKI Jakarta,2024,1108228.0,1686257.0,2794485.0,5067381.0,6.12,64.14,344382.53,201329.87,4.3,0.13,0.427,83.08,835686.5,10684.9,3.79,16165.0,101.1,0.31,99.96,61.69974351299111,2051.5374775856003,2.18151273615189,14470.4372020578,3.301,9.0,0.6000000000000001,12057335.0,106.49000000000001,83.43,94.01,63.69,11.49,95202.1
Gorontalo,2024,620823.0,641446.0,1262268.0,3025100.0,3.09,70.69,44437.14,26838.33,14.57,0.13,0.4135,71.23,480262.75,1227.8,0.44,102.0,101.7,1.26,96.13,61.69974351299111,2051.5374775856003,2.18151273615189,14470.4372020578,3.301,9.0,2.59,566340.0,109.0525,68.06,82.99,38.55,8.29,3960.1
Jambi,2024,773667.0,698833.0,1472501.0,3037121.0,4.465,68.315,86774.89,47490.59,7.1,0.13,0.318,73.43,679293.5,3724.3,1.32,76.0,103.4,1.3,82.16,61.69974351299111,2051.5374775856003,2.18151273615189,14470.4372020578,3.301,9.0,1.185,2847874.0,156.12750000000003,70.2,83.97,41.65,8.9,8939.0
Jawa Barat,2024,803842.0,829190.0,1633032.0,2057495.0,6.83,66.62,56081.86,34802.22,7.46,0.13,0.4245,74.43,527108.0,50345.2,17.88,1359.0,102.6,1.13,94.9,61.69974351299111,2051.5374775856003,2.18151273615189,14470.4372020578,3.301,9.0,1.13,27104924.0,112.17416666666668,70.58,75.1,45.61,8.87,88012.9
Jawa Tengah,2024,647311.0,624368.0,1271678.0,2036947.0,4.585,72.025,47970.48,30533.89,10.47,0.13,0.3655,73.88,513563.25,37892.3,13.46,1104.0,101.0,0.99,95.43,61.69974351299111,2051.5374775856003,2.18151273615189,14470.4372020578,3.301,9.0,1.62,21561850.0,114.22166666666668,65.47,86.72,40.36,8.02,32987.2
Jawa Timur,2024,689148.0,667796.0,1356943.0,2165244.0,3.9650000000000003,72.03,75770.26,46295.19,9.79,0.13,0.3725,74.09,539906.25,41814.5,14.85,870.0,99.4,0.75,96.93,61.69974351299111,2051.5374775856003,2.18151273615189,14470.4372020578,3.301,9.0,1.51,25959164.0,112.22083333333335,66.23,85.56,38.51,8.28,74937.4
Kalimantan Barat,2024,735785.0,652292.0,1388077.0,2702616.0,4.53,68.935,52702.7,28544.5,6.32,0.13,0.312,70.13,613181.75,5695.5,2.02,39.0,105.4,1.36,82.13,61.69974351299111,2051.5374775856003,2.18151273615189,14470.4372020578,3.301,9.0,0.87,3301058.0,154.9333333333333,66.97,81.56,43.98,7.78,14892.0
Kalimantan Selatan,2024,799948.0,734092.0,1534039.0,3282812.0,4.045,69.645,67122.21,36685.06,4.11,0.13,0.3,73.03,637979.25,4273.4,1.52,115.0,102.3,1.29,77.34,61.69974351299111,2051.5374775856003,2.18151273615189,14470.4372020578,3.301,9.0,0.5249999999999999,3213107.0,114.34583333333335,70.93,83.7,46.44,8.62,14909.4
Kalimantan Tengah,2024,835243.0,755448.0,1590691.0,3261616.0,3.84,67.97,79319.73,42240.24,5.17,0.13,0.3025,72.73,629625.75,2809.7,1.0,18.0,106.8,1.37,78.71,61.69974351299111,2051.5374775856003,2.18151273615189,14470.4372020578,3.301,9.0,0.73,1787508.0,125.87666666666667,75.71,78.15,50.67,8.81,8779.5
Kalimantan Timur,2024,925954.0,1116838.0,2042791.0,3360858.0,5.445,65.615,212116.62,141088.49,5.78,0.13,0.3155,78.83,839281.0,4045.9,1.44,32.0,107.3,1.93,89.11,61.69974351299111,2051.5374775856003,2.18151273615189,14470.4372020578,3.301,9.0,0.7050000000000001,3625643.0,137.92666666666665,83.1,91.65,57.68,10.02,52171.7
Kalimantan Utara,2024,833209.0,824833.0,1658042.0,3361653.0,3.955,68.69,198676.76,98859.94,6.32,0.13,0.2615,73.02,853125.0,739.8,0.26,11.0,110.7,1.41,89.42,61.69974351299111,2051.5374775856003,2.18151273615189,14470.4372020578,3.301,9.0,0.655,305187.0,112.805,77.5,85.17,49.59,9.35,8199.1
